Date,Open,High,Low,Close,Volume
2012-07-19,24.7515,24.7638,24.2436,24.7638,1079382.1509471
2012-07-20,24.6461,24.6926,24.2585,24.2585,629708.24930171
2012-07-23,23.9747,24.053,23.0257,23.3165,1765587.9867505
2012-07-24,23.5134,23.7506,23.2964,23.705,1181229.1648737
2012-07-25,23.3491,23.8702,23.3086,23.6786,2076135.2302227
2012-07-26,23.5134,24.2699,23.5134,23.6452,787983.42979292
2012-07-27,23.9089,24.132,23.5864,23.7094,910618.86979719
2012-07-30,23.835,24.1733,23.6522,23.9414,452928.67246609
2012-07-31,23.9414,24.5011,23.5793,23.5793,2246005.8162707
2012-08-01,23.8438,24.2111,23.7094,24.1126,1062762.3351898
2012-08-02,24.0679,24.4686,23.7243,24.3034,1157506.8929303
2012-08-03,24.2954,24.7638,24.2313,24.3693,1768106.4510254
2012-08-06,24.5011,25.081,24.4949,25.0608,433428.49833563
2012-08-07,25.0354,25.3183,24.8974,25.1926,1010035.047894
2012-08-08,25.1267,25.3253,24.9422,25.3253,940551.38103031
2012-08-09,25.3569,26.2137,25.2902,26.2137,1346067.3744988
2012-08-10,26.1143,26.2137,25.8508,26.1487,1212789.0615171
2012-08-13,25.9501,26.1346,25.6206,25.6206,525208.48335307
2012-08-14,25.9501,26.0818,25.668,25.9096,529989.35475791
2012-08-16,26.2805,26.2927,25.6601,25.6601,1074180.2077927
2012-08-17,25.5151,25.6092,24.8578,25.0274,1659532.5313921
2012-08-20,24.8974,25.0151,24.5749,24.5749,991865.23288574
2012-08-21,24.8974,24.8974,24.6399,24.6926,1659943.3608558
2012-08-22,24.6988,24.6988,24.1838,24.3174,1183080.7425399
2012-08-23,24.5599,24.6461,24.3438,24.5397,6446717.7364206
2012-08-24,24.6197,25.3376,24.5678,24.9747,1157134.7565462
2012-08-27,25.0274,25.2717,24.7119,24.8315,511894.64984549
2012-08-28,24.9553,25.212,24.8315,25.0933,749748.97690344
2012-08-29,25.1399,25.8042,24.9958,25.6873,3881539.5340028
2012-08-30,25.6873,26.3182,25.3904,25.502,5974106.8047431
2012-08-31,25.5564,26.0485,25.5564,25.7198,2654535.3178277
2012-09-03,25.9501,26.4571,25.7858,26.4254,1994178.7353187
2012-09-04,26.3587,26.5959,26.1679,26.4448,1229836.7772145
2012-09-05,26.2532,26.5239,26.0818,26.3455,2713487.6388261
2012-09-06,26.3455,26.9175,26.1679,26.6091,1628733.977993
2012-09-07,26.6091,28.3094,26.5889,28.3094,3912429.1299423
2012-09-10,28.3094,28.6908,28.0115,28.3209,1607036.2645427
2012-09-11,27.9922,28.2953,27.8402,27.9984,1352711.2038874
2012-09-12,28.1311,28.3015,27.4641,28.1899,1909069.892452
2012-09-13,28.0651,28.4921,28.0309,28.2822,2020513.9281727
2012-09-14,29.638,30.4816,29.3102,30.3172,2960220.8896404
2012-09-17,29.9676,30.3963,29.2092,29.703,1620163.4608424
2012-09-18,29.7373,29.87,29.3823,29.5985,1631655.3055094
2012-09-19,29.6327,29.8103,29.3823,29.5387,1705214.2640896
2012-09-20,29.4745,29.4745,28.4149,28.5528,1724720.1283788
2012-09-21,28.6635,28.8815,28.2232,28.2558,3180004.4104528
2012-09-24,28.2558,28.7101,28.1899,28.5528,3527134.8227372
2012-09-25,28.6513,28.9148,28.5915,28.8815,1371898.4192851
2012-09-26,28.4465,29.2092,28.3946,29.2092,1994971.9434523
2012-09-27,29.3551,29.9676,29.204,29.9676,3140448.7026952
2012-09-28,29.9676,30.2971,29.6722,29.9676,3145041.7988604
2012-10-01,29.9157,30.0993,29.8489,29.87,2668696.9849932
2012-10-02,29.9676,30.4948,29.9016,30.2715,3245294.4302975
2012-10-03,30.2971,30.3296,29.9947,30.0405,1596108.8836264
2012-10-04,30.2329,30.2575,29.7699,29.9016,1507093.1777431
2012-10-05,29.9351,30.1854,29.7434,30.1653,1993972.751571
2012-10-08,30.0405,30.1328,29.8832,29.9676,1239812.7635832
2012-10-09,29.9676,29.9676,29.5273,29.5739,1331474.3932981
2012-10-10,29.5387,29.8103,29.5335,29.703,1350964.3251427
2012-10-11,29.7575,30.0993,29.6248,29.9605,1523734.6161037
2012-10-12,29.8041,29.9016,29.5194,29.638,1467464.6359531
2012-10-15,29.8374,29.9351,29.5273,29.9351,602529.7749169
2012-10-16,30.4298,30.4298,29.638,29.8304,1515114.0255558
2012-10-17,29.6722,30.0009,29.3419,29.6512,1614039.711966
2012-10-18,29.7513,29.7513,28.6513,29.1064,7875430.1150355
2012-10-19,29.2443,29.3551,27.3666,27.6099,8893431.385218
2012-10-22,27.6231,27.7734,27.1504,27.5977,2830241.7307179
2012-10-23,27.3463,27.5836,27.2154,27.4325,1113599.3517396
2012-10-24,27.6565,28.1108,27.6099,27.7233,1620632.3299256
2012-10-25,27.7233,28.2558,27.7233,27.9852,2071216.6569754
2012-10-26,27.7277,28.3147,27.5774,28.2232,976397.105265
2012-10-29,28.3147,28.5783,28.1899,28.3946,827926.06834741
2012-10-30,28.4201,28.8481,28.3288,28.6838,1240192.8661895
2012-10-31,28.7821,29.0792,28.5211,28.8481,1100303.7267402
2012-11-02,29.0388,29.0388,27.8279,27.8402,2073144.4827692
2012-11-05,27.8604,27.8604,27.3736,27.3736,1467256.3761419
2012-11-06,27.5977,27.8868,27.3463,27.8868,1619036.8094044
2012-11-07,27.9263,28.0115,27.4606,27.6635,1497546.2293462
2012-11-08,27.6635,27.6759,27.2664,27.4983,1080821.7611178
2012-11-09,27.5836,27.5836,26.8929,27.4184,603581.31625898
2012-11-12,27.5977,28.0247,27.5308,27.8604,732115.17485199
2012-11-13,27.8604,29.1117,27.7734,29.1117,2769651.7820234
2012-11-14,28.9922,30.0809,28.9922,29.6846,3401732.8275354
2012-11-15,28.9798,30.0343,28.8164,29.5791,1267440.7605114
2012-11-16,29.5739,29.9016,29.0458,29.0458,737755.26023224
2012-11-19,29.2505,30.2839,29.2505,30.2839,1694380.2017772
2012-11-20,30.2636,30.601,30.1653,30.5739,1176136.4727678
2012-11-21,30.3172,30.9227,30.3172,30.6265,1690857.9934939
2012-11-22,30.7258,31.0343,30.2971,30.2971,704780.79011668
2012-11-23,30.3243,30.5536,29.4403,30.1398,942697.70892118
2012-11-26,30.3296,30.4816,29.797,30.2127,431391.42149328
2012-11-27,30.4948,30.5536,30.087,30.2329,719653.72712929
2012-11-28,30.2971,31.1537,30.2971,30.9104,2299397.7141116
2012-11-29,31.2197,31.4499,31.1661,31.4104,624172.86284297
2012-11-30,31.457,31.457,30.0993,30.0993,2987606.4858047
2012-12-03,29.9676,30.4948,29.9016,30.1328,1176275.312642
2012-12-04,30.2329,30.4236,29.5739,29.638,969464.2158105
2012-12-05,29.9676,30.3902,29.8374,30.1055,745032.97330866
2012-12-06,30.2971,30.6986,30.1653,30.6986,1151640.3392307
2012-12-07,30.6336,30.8639,30.3041,30.3041,969741.89555885
2012-12-10,30.1653,30.8919,30.1653,30.8832,715854.97712943
2012-12-11,30.949,32.2733,30.8304,32.2733,1424631.3967397
2012-12-12,32.1151,32.3717,31.6485,32.2407,1969533.5196216
2012-12-13,32.2531,32.2531,31.6134,32.1362,1093189.8902365
2012-12-14,32.0097,32.5896,32.0097,32.5896,695204.25289416
2012-12-17,32.5756,32.8989,32.2407,32.8989,568798.51368392
2012-12-18,32.6027,34.2486,32.5896,34.2486,1704504.1322741
2012-12-19,34.579,35.3681,34.3154,34.8751,4567719.1950759
2012-12-20,34.579,34.8092,33.6572,34.3804,1993308.1410257
2012-12-21,33.9859,34.1827,32.8137,33.5245,3309204.0176228
2012-12-27,33.3936,34.6765,33.3936,34.05,710081.74203379
2012-12-28,34.579,34.6106,32.6027,32.6027,1079196.6517709
2013-01-02,33.3936,34.3804,33.2609,34.2486,1053045.8200613
2013-01-03,33.7882,34.8418,33.7882,34.5131,1028747.7040497
2013-01-04,34.2486,34.2486,33.3268,33.7882,1804935.4346969
2013-01-07,33.623,33.6572,32.6027,32.7337,1552123.9562764
2013-01-08,32.6027,33.1291,31.9569,32.3339,1596512.8848996
2013-01-09,32.536,32.5835,32.1415,32.4042,674990.53285299
2013-01-10,32.5957,33.1291,31.6801,32.109,1585559.3292529
2013-01-11,32.2012,32.4042,31.6925,32.0747,782319.44574581
2013-01-14,32.2733,32.6625,32.0158,32.1415,719525.12954091
2013-01-15,32.0817,32.3717,31.4833,31.7461,2175458.0897156
2013-01-16,31.6801,33.1291,31.5079,33.1291,1954209.9220338
2013-01-17,32.9314,33.9217,32.8339,32.8664,1362907.9684167
2013-01-18,32.6027,33.5588,32.536,33.1941,1460436.1518312
2013-01-21,33.1291,33.4261,32.9982,33.1941,490328.94807879
2013-01-22,33.3936,33.5245,33.1291,33.5245,829833.40956962
2013-01-23,33.5913,34.2152,33.1941,33.8857,1191540.8706102
2013-01-24,34.05,34.3154,33.5913,34.3154,1069692.9485808
2013-01-25,34.3154,34.3154,33.7882,34.05,1024024.8722644
2013-01-28,33.7222,33.8857,32.9648,33.1291,1206038.2571435
2013-01-29,33.2943,33.5588,32.7935,33.5588,1132406.464531
2013-01-30,33.5588,34.0842,32.8664,32.9982,1673482.524651
2013-01-31,32.9314,33.2609,32.2733,32.2733,2310220.3961064
2013-02-01,32.536,32.9314,32.2733,32.6027,1205196.1136445
2013-02-04,32.9648,33.5588,32.2733,32.2733,1179501.6326688
2013-02-05,32.3374,32.6625,32.0097,32.043,1013922.5643708
2013-02-06,32.2407,32.2407,31.2522,31.4833,1176753.2859793
2013-02-07,31.4833,32.4648,31.3779,31.5158,1356837.7070329
2013-02-08,31.7135,32.4191,31.7135,32.109,1295244.01433
2013-02-11,32.3524,32.5896,31.9904,32.3717,849497.46027288
2013-02-12,32.2733,32.9982,32.2733,32.8664,804589.58916916
2013-02-13,32.9314,33.854,32.7486,33.623,801811.65365398
2013-02-14,33.5913,33.7882,33.0966,33.3936,827342.25805684
2013-02-15,33.4578,34.05,33.3936,33.688,898094.83032793
2013-02-18,34.05,34.05,33.3603,33.5588,719511.47315985
2013-02-19,33.3268,35.1053,33.3268,35.1053,2241958.9753481
